ref_ds,ref_fournisseur,libelle_source,groupe_articles,code_remise,code_barre,type_code_barre,source_ligne
V016C400,,Coude 87° DW32 Ø 400 mm,CHEM,A01,5900856145434,EAN13,18525
V016C400,,Coude 87° DW32 Ø 400 mm,CHEM,A01,5900856862690,EAN13,18526
V016C450,,Coude 87° DW32 Ø 450 mm,CHEM,A01,5900856145427,EAN13,18527
V016C450,,Coude 87° DW32 Ø 450 mm,CHEM,A01,5900856862706,EAN13,18528
V016C500,,Coude 87° DW32 Ø 500 mm,CHEM,A01,5900856862713,EAN13,18529
V016C500,,Coude 87° DW32 Ø 500 mm,CHEM,A01,5900856145410,EAN13,18530
V016C550,,Coude 87° DW32 Ø 550 mm,CHEM,A01,5900856862720,EAN13,18531
V016C550,,Coude 87° DW32 Ø 550 mm,CHEM,A01,5900856171563,EAN13,18532
V016C600,,Coude 87° DW32 Ø 600 mm,CHEM,A01,5900856171570,EAN13,18533
V016C600,,Coude 87° DW32 Ø 600 mm,CHEM,A01,5900856862737,EAN13,18534
V016D130,,Coude 87° + portillon DW32 Ø 130 mm,CHEM,A01,5900856862744,EAN13,18535
V016D130,,Coude 87° + portillon DW32 Ø 130 mm,CHEM,A01,5900856145847,EAN13,18536
V016D150,,Coude 87° + portillon DW32 Ø 150 mm,CHEM,A01,5900856145830,EAN13,18537
V016D150,,Coude 87° + portillon DW32 Ø 150 mm,CHEM,A01,5900856862751,EAN13,18538
V016D180,,Coude 87° + portillon DW32 Ø 180 mm,CHEM,A01,5900856815191,EAN13,18539
V016D200,,Coude 87° + portillon DW32 Ø 200 mm,CHEM,A01,5900856547276,EAN13,18540
V016D250,,Coude 87° + portillon DW32 Ø 250 mm,CHEM,A01,5900856547283,EAN13,18541
V016D300,,Coude 87° + portillon DW32 Ø 300 mm,CHEM,A01,5900856862768,EAN13,18542
V016D300,,Coude 87° + portillon DW32 Ø 300 mm,CHEM,A01,5900856145779,EAN13,18543
V016D350,,Coude 87° + portillon DW32 Ø 350 mm,CHEM,A01,5900856145762,EAN13,18544
V016D350,,Coude 87° + portillon DW32 Ø 350 mm,CHEM,A01,5900856862775,EAN13,18545
V016D400,,Coude 87° + portillon DW32 Ø 400 mm,CHEM,A01,5900856145755,EAN13,18546
V016D400,,Coude 87° + portillon DW32 Ø 400 mm,CHEM,A01,5900856862782,EAN13,18547
V016D450,,Coude 87° + portillon DW32 Ø 450 mm,CHEM,A01,5900856145748,EAN13,18548
V016D450,,Coude 87° + portillon DW32 Ø 450 mm,CHEM,A01,5900856862799,EAN13,18549
V016D500,,Coude 87° + portillon DW32 Ø 500 mm,CHEM,A01,5900856862805,EAN13,18550
V016D500,,Coude 87° + portillon DW32 Ø 500 mm,CHEM,A01,5900856145731,EAN13,18551
V016D550,,Coude 87° + portillon DW32 Ø 550 mm,CHEM,A01,5900856171587,EAN13,18552
V016D550,,Coude 87° + portillon DW32 Ø 550 mm,CHEM,A01,5900856862812,EAN13,18553
V016D600,,Coude 87° + portillon DW32 Ø 600 mm,CHEM,A01,5900856171594,EAN13,18554
V016D600,,Coude 87° + portillon DW32 Ø 600 mm,CHEM,A01,5900856862829,EAN13,18555
V016E080,,Coude 90° + inspection étanche DW32 Ø 80 mm,CHEM,A01,5900856026061,EAN13,18556
V016E100,,Coude 90° + inspection étanche DW32 Ø 100 mm,CHEM,A01,5900856026078,EAN13,18557
V016E130,,Coude 90° + inspection étanche DW32 Ø 130 mm,CHEM,A01,5900856026092,EAN13,18558
V016E150,,Coude 90° + inspection étanche DW32 Ø 150 mm,CHEM,A01,5900856026108,CODE128,18559
V016E150,,Coude 90° + inspection étanche DW32 Ø 150 mm,CHEM,A01,5900856026108,EAN13,18560
V016E180,,Coude 90° + inspection étanche DW32 Ø 180 mm,CHEM,A01,5900856026122,CODE128,18561
V016E180,,Coude 90° + inspection étanche DW32 Ø 180 mm,CHEM,A01,5900856026122,EAN13,18562
V016E200,,Coude 90° + inspection étanche DW32 Ø 200 mm,CHEM,A01,5900856026139,CODE128,18563
V016E200,,Coude 90° + inspection étanche DW32 Ø 200 mm,CHEM,A01,5900856026139,EAN13,18564
